"local_identifier","date","timestamp","location_long","location_lat","locationsPerDay","net_displacement","max_displecement","total_distance","avgFlight_heightAGL","sdFlight_heightAGL","flight_time","maxFlight_speed","avgFlight_speed","sdFlight_speed","setOffTimeMinute","returnBeforesunsetMinute","numberOfFlighetSegments","avgSegmentDistance","sdSegmentDistance","avgSegmentTime","sdSegmentTime","released_wild","GroundASL","origin","age_release","days_acclim","status","pre_2020","group_release","day_one","day_ten","timefromday1","season","death_date","days_to_death","max_deltaHeight0","repeat.","max_temp","median_temp","deltaHeight0_75","deltaHeight0_50","age_class","net_km","max_km","totdiskm","maxspeedkm","avgspeedkm","avgsegkm","avgseghr","setOffhr","returnhr","flightHr","dayFromDayOne","n_days"
"A25w",2023-01-13,2023-01-13 04:59:43,35.0735473632812,30.9367008209229,55,2196.96022152868,24571.9531143647,113137.379005683,492.190476190476,281.224931157893,219.283333333333,22.7777777777778,10.952380952381,5.39745269463558,170.216666666667,97.7666666666667,4,19485.681764512,24004.5613143863,37.82,58.6060772280985,"wild",251,"wild",3,NA,"wild","4","13",2023-01-13,2023-01-23,0,"winter",2023,NA,1020,"4",43,32,606.5,181,"subadult",2.19696022152868,24.5719531143647,113.137379005683,82,39.4285714285714,19.485681764512,0.630333333333333,2.83694444444444,1.62944444444444,3.65472222222222,"0",9
"A25w",2023-01-14,2023-01-14 04:59:34,35.0714111328125,30.9186477661133,61,1714.74852859548,16059.4889716765,66506.3436246486,460.375,398.698194126836,159.116666666667,36.1111111111111,13.4548611111111,6.70664613396705,281.95,28.15,5,7175.06692308603,6468.92274330839,11.7874316939891,21.7968725788769,"wild",302,"wild",3,NA,"wild","4","13",2023-01-13,2023-01-23,1,"winter",2023,NA,1286,"4",35,30,284,54,"subadult",1.71474852859548,16.0594889716765,66.5063436246486,130,48.4375,7.17506692308603,0.196457194899818,4.69916666666667,0.469166666666667,2.65194444444444,"1",9
"A25w",2023-01-15,2023-01-15 05:09:39,35.0732154846191,30.9373035430908,56,2573.01166694232,14738.0783891353,65416.094552749,415.933333333333,278.794462608124,149.2,18.0555555555556,12.9444444444444,3.33795975239996,299.183333333333,1.78333333333333,3,11925.7997357275,15877.7604148833,23.0044642857143,43.6852665095547,"wild",264,"wild",3,NA,"wild","4","13",2023-01-13,2023-01-23,2,"winter",2023,NA,1074,"4",41,32,269.75,199,"subadult",2.57301166694232,14.7380783891353,65.416094552749,65,46.6,11.9257997357275,0.383407738095238,4.98638888888889,0.0297222222222222,2.48666666666667,"2",9
"A25w",2023-01-16,2023-01-16 04:59:11,35.0664253234863,30.9150257110596,61,2642.35993408777,16120.6910248881,44896.8178617571,488.1,418.903714739106,99.7166666666667,19.1666666666667,14.6111111111111,3.5746017649212,329.333333333333,182.733333333333,2,7566.88537220502,11330.3467468482,11.1087431693989,27.1079321804108,"wild",319,"wild",3,NA,"wild","4","13",2023-01-13,2023-01-23,3,"winter",2023,NA,1160,"4",43,35,165,28,"subadult",2.64235993408777,16.1206910248881,44.8968178617571,69,52.6,7.56688537220502,0.185145719489982,5.48888888888889,3.04555555555556,1.66194444444444,"3",9
"A25w",2023-01-17,2023-01-17 05:07:49,35.0735092163086,30.9370975494385,60,2501.78355169648,14434.5118884595,70670.5877238073,333.913043478261,247.424903766683,221.883333333333,26.3888888888889,12.0531400966184,5.28358208903789,288.016666666667,-8.63333333333333,3.5,13833.4454451963,14844.9055332505,36.7402777777778,53.8065811588545,"wild",251,"wild",3,NA,"wild","4","13",2023-01-13,2023-01-23,4,"winter",2023,NA,1114,"4",45,30.5,399.25,175.5,"subadult",2.50178355169648,14.4345118884595,70.6705877238073,95,43.3913043478261,13.8334454451963,0.612337962962963,4.80027777777778,-0.143888888888889,3.69805555555556,"4",9
"A25w",2023-01-18,2023-01-18 04:59:33,35.0664443969727,30.9159278869629,61,468.29390417187,2508.65485926276,22039.0189194341,78.5,50.1805829887508,119.383333333333,19.4444444444444,12.5925925925926,4.2711370029732,269.316666666667,154.933333333333,4,1599.83841443036,1255.92046632473,6.21584699453552,13.0616307707351,"wild",341,"wild",3,NA,"wild","4","13",2023-01-13,2023-01-23,5,"winter",2023,NA,999,"4",47,35,114,51,"subadult",0.46829390417187,2.50865485926276,22.0390189194341,70,45.3333333333333,1.59983841443036,0.103597449908925,4.48861111111111,2.58222222222222,1.98972222222222,"5",9
"A25w",2023-01-19,2023-01-19 04:58:11,35.065975189209,30.911693572998,63,134.703411297566,6870.39566521906,34185.5347224772,154.785714285714,112.691668227567,139.7,19.1666666666667,12.6587301587302,3.03648728856032,269.25,126.2,4,3824.01034735254,5124.93492326443,14.5904761904762,31.7141307720991,"wild",231,"wild",3,NA,"wild","4","13",2023-01-13,2023-01-23,6,"winter",2023,NA,371,"4",41,31,137.5,48,"subadult",0.134703411297566,6.87039566521906,34.1855347224772,69,45.5714285714286,3.82401034735254,0.243174603174603,4.4875,2.10333333333333,2.32833333333333,"6",9
"A25w",2023-01-20,2023-01-20 04:58:55,35.0651893615723,30.9114837646484,63,9743.26505613606,14298.6061355128,32256.9486809203,169.111111111111,87.2817914064045,89.6333333333333,13.0555555555556,9.81481481481481,3.21250930728344,269.233333333333,197.35,3,5317.56411129254,5778.36683282452,8.08941798941799,22.1323645786477,"wild",347,"wild",3,NA,"wild","4","13",2023-01-13,2023-01-23,7,"winter",2023,NA,705,"4",45,33,189,84,"subadult",9.74326505613606,14.2986061355128,32.2569486809203,47,35.3333333333333,5.31756411129254,0.134823633156966,4.48722222222222,3.28916666666667,1.49388888888889,"7",9
"A25w",2023-01-21,2023-01-21 04:57:12,35.161865234375,30.9434127807617,63,9935.9543985712,21883.7899909454,58968.415468879,225.263157894737,165.904203317344,189.8,18.6111111111111,12.3099415204678,3.60642220697135,249.283333333333,158.416666666667,3,12956.1622367509,19921.8267022168,41.4214285714286,69.8292559456214,"wild",377,"wild",3,NA,"wild","4","13",2023-01-13,2023-01-23,8,"winter",2023,NA,806,"4",46,32,317.5,176,"subadult",9.9359543985712,21.8837899909454,58.968415468879,67,44.3157894736842,12.9561622367509,0.690357142857143,4.15472222222222,2.64027777777778,3.16333333333333,"8",9
"A25w",2023-01-22,2023-01-22 04:57:09,35.0633583068848,30.9118213653564,63,179.208033802879,15379.9867623853,53874.8243904685,263.590909090909,185.130754073698,218.8,20.5555555555556,11.4646464646465,3.91448663313382,229.083333333333,9.91666666666667,4,10655.3382684301,15627.9998433392,35.1708994708995,57.5527025084294,"wild",309,"wild",3,NA,"wild","4","13",2023-01-13,2023-01-23,9,"winter",2023,NA,1003,"4",45,34,379,194,"subadult",0.17920803380288,15.3799867623853,53.8748243904685,74,41.2727272727273,10.6553382684301,0.586181657848325,3.81805555555556,0.165277777777778,3.64666666666667,"9",9
"A31w",2022-04-13,2022-04-13 03:59:19,34.842414855957,30.7928142547607,71,1210.0985621272,46513.7464570355,237946.899935156,377.47619047619,160.08294162642,419.216666666667,25.2777777777778,14.4642857142857,4.39479074602885,102.083333333333,168.95,3,90951.7393082711,88299.4963991533,162.494835680751,158.949781517237,"wild",506,"wild",0,NA,"wild","5","4",2022-04-13,2022-04-23,0,"summer",2022,NA,780,"4",40,29,352.5,116,"juvenile",1.2100985621272,46.5137464570355,237.946899935156,91,52.0714285714286,90.9517393082711,2.70824726134585,1.70138888888889,2.81583333333333,6.98694444444444,"0",9
